Object or Phenomenon,Conceptual Model,Dimensionality,Key Properties,Theoretical Application,Mathematical Representation (Inferred),Source
Tetragrammaton / Pentagrammaton Shape,Kosmic Pentoglyph / Higher-Dimensional Geometric Projection,1D to 4D (Unified),"Precision, co-originality, kosmic geometrism, '3D faces', interlocking field, recursive","Archetypal alphabet (Point, Line, Triangle, Square, Circle) for space-genesis; personal experience of expanded consciousness.","Euclidean symmetry groups, fundamental geometric primitives, rhombic dodecahedron base, 4-polytope.",1-4
Hypercube (Tesseract),Meta-geometry / Four-Space Geometric Model / 4D Measure Polytope,4D,"Extension in a fourth direction, incommensurability with 3D, 8 cubic cells, 24 square faces, 32 edges, 16 vertices.","Hypothesizing higher-dimensional space; analogy for 3D beings; model for spatial logic and spiritual metaphors (""gateway to God"").","$a^4$ ; Schläfli symbol  $\{4,3,3\}$ ; Coxeter group  $B_4$ ; Cartesian product  $5^4$ ; Euclidean symmetry groups.","1, 6-11"
Color Experiences,Quality Space Models / Space-sense development system,3D to 4D (Mental training),"Hue, Saturation, Brightness, precision, similarity, fractal-like spirals, systematic arrangement.",Training mental apparatus; modeling mental qualities as points or regions to capture phenomenal similarity and imprecision.,Points/Regions in a 3D Euclidean manifold; RGB array; sets of points representing colored faces of cubes.,"6, 12-15"
DMT-induced Visuals & Breakthroughs,Reality Switch Hypothesis / Topological Bifurcation Model,4D / Hyperbolic / Higher-dimensional,"Ineffability, negative curvature, self-transforming, information density, non-simply connected, impossible connectivity.",Algorithmic reduction of psychedelic states; HyperGrid theory; modeling world-sheet changes under extreme curvature.,Hyperbolic  $H^2/H^3$  manifolds; 3D+Time ( $3D1T$ ) surfaces; topological bifurcations; transfinite numbers ( $\infty = \infty^2$ ).,"6, 7, 16"
Hyperspace / Fourth Dimension,Non-Euclidean Geometry (Metageometry),4D,"Idealized, conceptually possible, non-sensuous, four independent variables.",Symbol of extended awareness and intellectual expansion; secures release from limitations.,"Manifolds and 4D coordinate systems (e.g.,  $x, y, z, w$ ).",1
Space-Mind (Kosmic Consciousness),Quality Space Model / Cosmic Consciousness,Transfinite,"Omniscience, ""At-one-ment"", identity with space, reconciliation of opposites.","Ultimate state of oneness where mind and space coincide; expansion of experience to the ""Eternal Now"".",Infinite set / universal set mapping to a singularity; non-Euclidean manifolds.,"1, 6"
DMT Entities / Hyper-level Hallucinations,Regional Framework / High-level Cognitive Emergence,Higher-ordered space (projected to 2D/3D),"Multisensory, autonomous, ineffable, structured as semantic concept networks.",Spontaneous emergence of stored memories and higher brain area excitation.,Complex networks; multidimensional phase space; 4D-to-3D projections.,"5, 14, 17"
Spiritual Vision / Supernormal Perception,Intuitional / Regional Framework,$n$ -D (Supersensuous),"Ineffability, instantaneous cognition, direct realization of unity.",Media for higher awareness involving the pineal gland and pituitary body.,Non-linear cognitive mappings or extra-dimensional sets of points.,1
Four-dimensional sphere / Globe,Hyperspace vision / Occult experience,4D,Motion vertically uniting points; three circles merging into unity; internal/external dual character.,Visualizing the simplest 4D body as seen by inner vision.,Manifolds with curvature in four-dimensional Euclidean space.,6
Linga Sharira (Time-body),Quality Space Model / Eastern Philosophy,4D,Constancy amid physical change; form of the human body stretched from birth to death.,Viewing the physical body as a 3D section of a constant 4D entity.,A continuous four-dimensional manifold defined by time-integral sections.,6
Ether,Brane Theory (Law of Surfaces),Surface of 4D space,Boundary of perception; means of transmitting vibrations; weightless medium.,Explaining laws of the universe as surface tensions of a higher universe.,A 3-manifold boundary or hyperspace surface ( $\mathbb{R}^3$  surface in  $\mathbb{R}^4$ ).,6
Higher-Dimensional Fractal Attractors,Nonlinear Dynamics / Phase Space,Up to 4.85D,"Symmetry, foam-like structure, self-similarity, nesting.",Mathematical framework for consciousness and information binding across brain regions.,Lorenz attractor; correlation dimension ( $D_2$ ); delay coordinate embedding.,13
Quantum Wavefunction,Transactional Interpretation (TI) / Brane Theory,5D (3 real + 2 imaginary),"Non-locality, entanglement, complex phase.",Relating mass and space-time curvature.,Minkowski 5-space; complex numbers (real + imaginary units); D-branes.,18
Curved Space,Riemannian Geometry (Elliptic),Finite but unbounded ( $n$ -D),"Flexity, measure of curvature, non-geodetic progression.",Doctrine maintaining that all lines drawn in space return upon themselves.,Continuous manifold with positive or negative curvature.,1
Pseudosphere,Hyperbolic Geometry (Beltrami's Surfaces),2D surface in 3D/4D,"Constant negative curvature, non-intersecting classes of lines.",Illustrates space where parallel axiom fails; makes acute triangles intuitive.,Surfaces of constant negative curvature; Lobachevskian geometry.,1
Klein Bottle / Möbius Band,Nonorientable Surfaces,Embedded in 4D,"Single-sided, no boundary, nonorientable, self-intersecting in 3D.",Explaining higher-dimensional topology and orientation-reversing paths.,Topology; non-Euclidean axioms; 4D construction via rotation of Möbius bands.,19
Form Constants,Klüver's Classification / Stochastic Turing Mechanism,2D patterns on 3D system,"Geometric, repeating, spontaneous, symmetry-based (Lattices, Tunnels, Spirals).",Neural architecture of visual cortex (V1) determines shapes via symmetry breaking.,Planar Euclidean group  $E(2)$ ; manifolds; plane waves; Turing patterns.,"5, 20"
Hypercone (Spherical Cone),4D Extrusion,4D,Spherical base extruded to a point; spherical symmetry around W-axis.,"Visualizing 3D conic sections (spheres, ellipsoids) as slices of a 4D object.",Algebraic formulation adding a  $w^2$  term to the standard cone equation.,11
Hypertetrahedron,Four-Space Simplices,4D,"Five tetrahedra, ten faces, ten lines, five points.",Mathematical construction representing the simplest 4D shape.,A 4-simplex in a 4D manifold.,1
Dream Space Movement,Minkowski 4-space (Astral Plane),4D (3 real + 1 imaginary),"Emotional distance reduction, fluidity, instability.",Esoteric model of planes of being.,$s^2 = x^2 + y^2 + z^2 + w^2$  (where  $w$  is imaginary/emotional).,18
Sensation/Perception,Regional Framework of Consciousness,1D to 3D,"Subjectivity; irritability of cells; limited by ""narrow slit"" of perception.","Constructing the ""phenomenal world"" through the perceiving apparatus.",Projection of high-dimensional data onto lower-dimensional systems.,6
Sensuous World (Perceptual Space),Euclidean Geometry,3D,"Representative, palpable, tridimensional.",Standard for objective physical world; basis for intellection.,Euclidean symmetry groups and 3D coordinate systems.,1
Flatland / Two-Space,Regional Framework (Analogy),2D,"Limited motility, restricted to a plane, safe behind a line.",Hypothetical land used to teach 3D beings about 4D possibilities.,Euclidean 2-space (Plane geometry).,1